Country,Birth_rate_2000,Birth_rate_2005,Birth_rate_2013,Death_rate_2000,Death_rate_2005,Death_rate_2010
Arab World,28.35698642,27.01158429,25.54024169,6.549817857,6.295917305,5.923563925
Lao PDR,30.921,28.383,26.759,8.435,7.182,5.941
Kiribati,28.758,24.796,23.261,7.129,6.429,5.976
Cambodia,27.545,26.183,25.652,8.533,6.886,5.989
Hong Kong,8.1,8.4,7.9,5.1,5.7,6
Dominican Republic,24.982,23.6,20.826,5.97,5.985,6.002
Philippines,29.587,27.28,24.398,6.119,6.025,6.015
Tonga,28.347,28.67,25.483,6.257,6.235,6.037
Bahamas,17.617,15.347,15.323,5.607,5.627,6.089
Kyrgyz Republic,19.8,21.4,27.2,7,7.2,6.1
Antigua and Barbuda,20.24,18.599,16.451,6.817,6.462,6.134
Pacific island small states,28.98426119,27.73205464,24.70766615,6.513279848,6.270809398,6.144808012
Micronesia,29.906,26.138,23.547,6.318,6.345,6.187
Indonesia,21.521,21.376,18.787,6.786,6.55,6.248
Tunisia,17.1,17.1,19.8,5.6,5.9,6.3
Australia,13,12.8,13.2,6.7,6.4,6.3
Morocco,22.022,20.076,22.712,6.069,6.197,6.333
Brazil,20.867,18.061,14.938,6.385,6.332,6.478
Egypt,24.764,24.401,23.177,6.909,6.83,6.489
Ireland,14.4,14.8,15,8.2,6.8,6.5
Bhutan,27.617,22.935,19.559,8.934,7.435,6.502
El Salvador,24.63,21.011,20.126,6.47,6.448,6.531
Tajikistan,30.463,29.693,32.998,7.776,6.748,6.57
New Zealand,14.66,13.96,13.12,6.91,6.54,6.61
Nepal,32.849,28.307,20.973,8.731,7.684,6.651
Guyana,21.924,22.336,20.258,9.112,8.191,6.69
Iceland,15.3,14.4,13.4,6.5,6.2,6.7
Liechtenstein,12.9,11,9.2,7.3,6.2,6.7
Eritrea,39.818,39.967,36.702,9.542,8.445,6.744
Mongolia,19.333,20.353,22.659,7.686,6.967,6.784
Bermuda,13.5,13.1,10.4,8,7.1,6.8
Fiji,24.803,23.212,20.441,6.076,6.378,6.804
Sao Tome and Principe,36.408,37.735,33.931,8.639,7.879,6.828
Madagascar,41.123,37.602,34.67,10.206,8.491,6.829
Caribbean small states,19.59999473,17.93862753,15.57350448,7.248861098,7.288575632,6.902078763
Albania,18.938,14.474,12.877,5.727,5.873,6.905
Cyprus,13.244,11.944,11.482,6.837,6.776,6.937
Pakistan,31.192,27.994,25.246,8.031,7.359,6.941
East Asia & Pacific (developing only),16.310667,14.90150902,14.12558587,6.54173562,6.526087396,6.983985779
Kosovo,22.8,20.9,17.7,7,7,7
Luxembourg,13.1,11.5,11.3,8.6,7.8,7
Upper middle income,16.9160514,15.40296563,14.66669605,6.603495438,6.684937725,7.025572323
Sri Lanka,18.472,18.631,17.863,6.969,6.404,7.061
Rwanda,40.983,38.401,35.158,13.709,11.569,7.062
Bolivia,31.445,28.731,25.703,8.436,7.764,7.091
East Asia & Pacific (all income levels),15.71688268,14.26252798,13.56566712,6.564420385,6.597991337,7.101209732
Namibia,31.655,29.177,26.028,11.219,10.825,7.166
St. Lucia,19.553,17.413,15.43,7.381,6.786,7.188
China,14.03,12.4,12.1,6.45,6.51,7.2
Canada,10.9,10.65,10.9,7.1,7.1,7.2
St. Vincent and the Grenadines,19.902,18.062,16.301,7.329,7.404,7.206
Yemen,39.482,35.337,31.08,9.269,8.174,7.224
Suriname,22.616,20.088,17.741,7.534,7.438,7.273
Seychelles,18.6,18.5,18.6,6.8,8.1,7.4
Grenada,19.399,18.868,19.314,8.192,7.91,7.443
Middle income,22.0999129,20.59260244,19.25522083,7.838035209,7.611444972,7.466533237
Mauritius,17,15.3,10.9,6.7,7,7.5
Ethiopia,43.6,38.753,33.018,13.876,10.926,7.579
South Asia,26.68281842,24.13365431,21.13486972,8.672705557,8.014779341,7.581395464
Malta,11.5,9.6,9.5,7.7,7.8,7.6
Senegal,39.961,39.182,37.746,10.767,9.145,7.628
Papua New Guinea,34.976,32.64,28.883,9.146,8.292,7.696
Argentina,18.757,17.66,16.756,7.813,7.763,7.713
Cuba,13.044,11.435,9.505,7.097,7.203,7.724
Thailand,14.568,12.63,10.242,6.793,7.012,7.733
Low & middle income,23.83886299,22.40080751,21.04656049,8.418047115,8.087347084,7.749074251
Turkmenistan,23.663,22.625,21.32,7.692,7.734,7.767
Lower middle income,26.83095316,25.14812157,23.04404649,8.964735325,8.424723767,7.830642424
Afghanistan,49.999,45.078,34.065,12.307,10.55,7.845
India,25.622,23.259,20.438,8.898,8.283,7.932
World,21.42490522,20.27031264,19.22370059,8.583592402,8.294425751,7.960676665
Kazakhstan,14.7,18.42,22.73,10.1,10.37,7.98
Virgin Islands (U.S.),14.4,14.9,10.7,6,6.2,8
Greenland,15.6,15.6,14.5,8,8.2,8
Switzerland,10.9,9.8,10.2,8.7,8.2,8
North America,14.05574542,13.66970012,12.33967459,8.542569468,8.145461517,8.099780446
Norway,13.2,12.3,11.6,9.8,8.9,8.1
OECD members,13.54113175,12.77989438,11.87845091,8.249989411,8.053102377,8.177188439
Kenya,38.532,38.676,34.904,12.25,11.403,8.189
United States,14.4,14,12.5,8.7,8.26,8.2
Spain,9.9,10.6,9.1,9,8.8,8.3
Puerto Rico,15.59,12.96,10.8,7.48,7.6,8.325
Aruba,14.187,12.312,10.28,6.97,7.305,8.359
Sudan,39.762,37.582,33.499,10.511,9.443,8.359
Netherlands,13,11.5,10.2,8.8,8.4,8.4
Tanzania,41.691,41.874,39.152,14.44,12.229,8.523
Myanmar,20.924,18.952,17.204,8.811,8.504,8.543
Haiti,31.127,28.642,25.633,10.96,10.022,8.561
France,13.3,12.8,12.3,8.9,8.5,8.7
Mauritania,38.131,36.796,34.069,9.753,9.406,8.707
Armenia,13.201,14.061,13.699,8.476,8.443,8.737
Djibouti,30.21,28.998,27.48,10.254,9.98,8.744
Comoros,39.045,39.195,35.246,10.506,9.919,8.765
High income: OECD,11.93234966,11.38240898,10.77014695,8.74549118,8.575027228,8.776066561
Liberia,42.765,40.214,35.485,14.167,12.109,8.838
High income,12.33372744,11.90242391,11.63945817,9.207059735,9.107725295,8.841045066
Zimbabwe,32.134,32.31,31.259,16.955,16.64,8.983
Europe & Central Asia (developing only),15.34592157,15.43285328,16.18371285,9.800665307,9.943737759,8.993989758
Ghana,34.596,33.82,30.872,10.652,10.068,8.997
United Kingdom,11.5,12,12.2,10.3,9.6,9
High income: nonOECD,13.68332456,13.65510331,14.48065091,10.75914279,10.90286559,9.053384539
Gabon,33.73,33.15,31.888,11.083,10.788,9.067
Barbados,13.463,13.089,12.676,9.941,9.799,9.096
Channel Islands,10.992,10.298,9.522,9.743,9.138,9.108
Least developed countries: UN classification,38.31641702,36.12544181,33.03832219,12.48987135,11.04575883,9.19724171
Korea Dem. Rep.,17.904,15.532,14.366,9.098,8.598,9.201
Uganda,48.252,46.81,43.152,15.628,12.623,9.245
Denmark,12.6,11.9,10,10.9,10.1,9.3
Uruguay,16.406,15.479,14.474,9.421,9.356,9.346
Small states,28.64205456,27.12891307,25.3319368,10.24715159,10.43093393,9.356529624
Austria,9.8,9.5,9.4,9.6,9.1,9.4
Slovenia,9.1,9.1,10.2,9.3,9.4,9.4
Sweden,10.2,11.2,11.8,10.5,10.2,9.4
Benin,42.707,40.476,36.413,12.37,10.964,9.487
Finland,11,11,10.7,9.5,9.1,9.5
Slovak Republic,10.2,10.1,10.1,9.8,10,9.6
Trinidad and Tobago,14.716,15.168,14.451,8.072,8.593,9.631
Macedonia,12.622,11.418,10.694,8.31,8.881,9.652
Gambia,45.316,44.222,42.729,12.171,11.053,9.666
Euro area,10.63799032,10.29992357,9.711147374,9.612832358,9.428631758,9.668156887
Belgium,11.4,11.4,11.2,10.2,9.9,9.8
Fragile and conflict affected situations,37.60967606,35.90425267,33.23728607,12.17245638,11.32291907,9.869396104
European Union,10.59345338,10.44134601,10.01483862,9.994592513,9.814805475,9.87676672
Europe & Central Asia (all income levels),11.66608363,11.84826762,12.37095931,10.75378482,10.76191681,9.997543073
Italy,9.5,9.6,8.5,9.8,9.8,10
Japan,9.4,8.413292219,8.2,7.7,8.530753759,10.1
Poland,9.9,9.5,9.6,9.6,9.6,10.1
Bosnia and Herzegovina,10.199,8.338,8.962,7.502,8.786,10.114
Zambia,45.465,44.145,42.822,19.768,15.914,10.155
Low income,41.82542036,39.82464701,36.3658973,14.41730923,12.6730826,10.16533345
Greece,9.5,9.7,8.5,9.6,9.5,10.2
Portugal,11.7,10.4,7.9,10.2,10.2,10.2
Congo Rep,39.179,39.28,37.576,13.717,12.818,10.232
Heavily indebted poor countries (HIPC),42.99529772,41.04852551,37.55826217,14.40176197,12.70082172,10.24286682
Czech Republic,8.9,10,10.2,10.6,10.6,10.4
Montenegro,13.337,12.758,11.616,8.758,9.967,10.454
Other small states,32.12498313,30.44243315,28.66181517,11.8494427,12.05742893,10.52548632
Togo,38.917,38.371,36.398,12.591,12.107,10.652
Niger,53.141,51.165,49.674,16.807,13.933,10.896
Palau,14.5,14,13.1,6.5,6.7,11
Burkina Faso,46.245,44.85,40.854,15.469,13.745,11.063
Germany,9.3,8.3,8.5,10.2,10.1,11.1
Sub-Saharan Africa (developing only),41.6223224,40.32319983,37.64824918,15.19465817,13.83459247,11.16302296
Sub-Saharan Africa (all income levels),41.61797375,40.31885904,37.64452249,15.19538603,13.83585053,11.16436746
Central Europe and the Baltics,9.770916089,9.752793382,9.505112752,11.00684802,11.33343471,11.3738835
Malawi,45.296,42.486,39.77,17.646,15.076,11.376
Guinea,42.094,40.103,36.915,15.214,13.825,11.476
Georgia,11.964,12.822,13.332,10.034,10.51,11.539
Estonia,9.4,10.6,10.3,13.2,12.8,11.6
Cameroon,41.203,40.377,37.272,13.95,13.757,11.741
South Sudan,42.543,39.74,36.129,15.932,14.375,11.791
Croatia,9.8,9.563,9.4,11.2,11.656,11.8
Somalia,48.668,46.774,43.77,15.608,14.351,12.261
Romania,10.4,10.4,8.8,11.4,12.3,12.4
Guinea-Bissau,41.573,40.172,37.468,14.822,13.956,12.535
Burundi,42.497,43.581,44.696,15.788,14.771,12.781
Hungary,9.6,9.7,9.2,13.3,13.5,12.8
Russian Federation,8.7,10.2,13.2,15.3,16.1,13
South Africa,24.059,22.835,20.85,11.665,14.669,13.025
Mali,48.119,48.188,47.129,17.723,15.804,13.038
Equatorial Guinea,39.671,37.925,35.363,17.393,16.127,13.187
Belarus,9.4,9.4,12.5,13.5,14.7,13.2
Nigeria,42.909,42.464,41.245,17.6,15.971,13.201
Angola,50.477,49.224,44.117,19.408,16.638,13.887
Lithuania,9.8,8.9,10.1,11.1,13.2,14
Serbia,9.8,9.7,9.2,13.8,14.3,14
Moldova,11.785,11.807,12.141,12.272,13.161,14.111
Mozambique,44.284,43.904,38.888,17.031,16.36,14.143
Cote d'Ivoire,38.341,36.6,36.589,17.179,16.62,14.198
Swaziland,32.526,31.506,29.871,14.076,15.681,14.285
Chad,50.999,49.707,45.886,18.231,17.183,14.295
Latvia,8.6,9.8,10.2,13.6,14.6,14.3
Bulgaria,9,9.2,9.2,14.1,14.6,14.4
Ukraine,7.8,9,11.1,15.3,16.6,14.6
Central African Republic,39.401,37.184,34.185,19.565,18.407,14.868
Lesotho,31.459,28.82,27.468,16.497,18.623,14.957
Congo,47.608,45.962,42.717,18.697,17.313,15.427
Botswana,27.402,25.417,23.562,13.399,16.501,16.937
Sierra Leone,43.756,41.628,36.583,24.337,20.406,17.204
